POS Nr.,Name,Name 2,Adresse,PLZ,Ort,Kanton,Full Address,,,Latitude,Longitude,Homepage,Status Lose,Status Lotto,Status Subito,Status PMU,Wettvorbereitung Sporttip,Selbstbedienungsgerät
222805,A1 Hotel- u. Rest. Grauholz AG,Cafe Bar,Autobahn A1,3063,Ittigen,BE,"Autobahn A1, 3063 Ittigen",,,46.989740600000000,7.476694299999960,,Ja,Nein,Nein,Nein,Nein,Nein
222806,Cafe Wegere AG,Cafe Restaurant Wegere,Kirchstrasse 17,6244,Nebikon,LU,"Kirchstrasse 17, 6244 Nebikon",,,47.191420000000000,7.975650200000010,,Ja,Ja,Ja,Nein,Nein,Nein
222807,Siro-food Winti GmbH,Doldur Abbas,Frauenfelderstrasse 69,8404,Winterthur,ZH,"Frauenfelderstrasse 69, 8404 Winterthur",,,47.503206200000000,8.752177100000040,,Ja,Nein,Nein,Nein,Nein,Nein
222810,Denner Partner W. & S.,Lebensmittel GmbH,Hauptstrasse 42,5726,Unterkulm,AG,"Hauptstrasse 42, 5726 Unterkulm",,,47.313095100000000,8.113918099999970,,Ja,Nein,Nein,Nein,Nein,Nein
222811,Mustafa Demir,MD Kiosk,Baselstrasse 71,4142,Münchenstein,BL,"Baselstrasse 71, 4142 Münchenstein",,,47.522817300000000,7.618019300000010,,Ja,Ja,Ja,Nein,Nein,Nein
222813,Kiosk Bernina Shafi Sulayman,Kiosk Berninaplatz,Schaffhauserstrasse 259,8057,Zürich,ZH,"Schaffhauserstrasse 259, 8057 Zürich",,,47.403797700000000,8.547665999999930,,Ja,Ja,Nein,Nein,Nein,Nein
222814,Bistro am Bahnhof GmbH,Bistro am Bahnhof,Untere Grabenstrasse 26,4800,Zofingen,AG,"Untere Grabenstrasse 26, 4800 Zofingen",,,47.288451100000000,7.943249100000000,,Ja,Ja,Ja,Ja,Ja,Ja
222815,Dosinda Giordano,Bar Piazza,Via Ponte Vecchio 11,6527,Lodrino,TI,"Via Ponte Vecchio 11, 6527 Lodrino",,,46.301100000000000,8.979800100000030,,Ja,Nein,Nein,Nein,Nein,Nein
222818,Franziska Wyler,Kiosk Obertor,Obertorplatz,5620,Bremgarten AG,AG,"Obertorplatz, 5620 Bremgarten AG",,,47.350692200000000,8.344415600000040,,Ja,Ja,Nein,Nein,Nein,Nein
222819,Elsbeth Byland,Dorflädeli,Dorfstrasse 50,4813,Uerkheim,AG,"Dorfstrasse 50, 4813 Uerkheim",,,47.309744100000000,8.024352899999940,,Ja,Nein,Nein,Nein,Nein,Nein
222820,R.R.E. Sagl,Bar Stazione ENI di Paradiso,Riva Paradiso 40,6900,Paradiso,TI,"Riva Paradiso 40, 6900 Paradiso",,,45.988852100000000,8.953603799999990,,Ja,Ja,Ja,Nein,Nein,Nein
222821,Valora Schweiz AG,avec Hardplatz 1,Hardplatz  1,8004,Zürich,ZH,"Hardplatz  1, 8004 Zürich",,,47.382859800000000,8.514820500000040,,Ja,Ja,Nein,Nein,Nein,Nein
301112,Coop Zentralschweiz Zürich,Kiosk Coop Center Sprengi,Erlenstrasse 4,6020,Emmenbrücke,LU,"Erlenstrasse 4, 6020 Emmenbrücke",,,47.080760400000000,8.271522799999950,,Ja,Ja,Nein,Nein,Nein,Nein
301113,Coop Zentralschweiz Zürich,Kiosk Coop Center,Zentralstrasse 34,6030,Ebikon,LU,"Zentralstrasse 34, 6030 Ebikon",,,47.082880000000000,8.343651700000010,,Ja,Ja,Nein,Nein,Nein,Nein
301116,Coop Zentralschweiz Zürich,Kiosk Coop Center,Feldli  ,6130,Willisau,LU,"Feldli  , 6130 Willisau",,,47.127261999999900,7.997570999999990,,Ja,Ja,Nein,Nein,Nein,Nein
301118,Coop Zentralschweiz Zürich,Kiosk Coop Center,Hellgasse 3,6460,Altdorf UR,UR,"Hellgasse 3, 6460 Altdorf UR",,,46.881008000000000,8.645713099999960,,Ja,Ja,Nein,Nein,Nein,Nein
301122,Coop Zentralschweiz Zürich,Coop Küssnacht,Bahnhofstrasse 14,6403,Küssnacht am Rigi,SZ,"Bahnhofstrasse 14, 6403 Küssnacht am Rigi",,,47.082518700000000,8.439747399999980,,Ja,Ja,Nein,Nein,Nein,Nein
301123,Coop Zentralschweiz Zürich,Coop Center Neustadt Pass.,Baarerstrasse 6,6300,Zug,ZG,"Baarerstrasse 6, 6300 Zug",,,47.171030200000000,8.516535699999960,,Ja,Ja,Nein,Nein,Nein,Nein
301124,Coop Zentralschweiz Zürich,Kiosk Coop Center,Hindervormüli 9,6170,Schüpfheim,LU,"Hindervormüli 9, 6170 Schüpfheim",,,46.947011400000000,8.009423200000010,,Ja,Ja,Nein,Nein,Nein,Nein